hugo	pfam_coord
RGPD3	{'GRIP': [1706, 1751], 'TPR_1': [60, 93], 'Ran_BP1': [1346, 1467, '//', 1049, 1170]}
RGPD1	{'GRIP': [1688, 1733], 'TPR_1': [51, 83], 'Ran_BP1': [1330, 1451, '//', 1033, 1154]}
RGPD6	{'GRIP': [1705, 1750], 'TPR_1': [60, 93], 'Ran_BP1': [1345, 1466, '//', 1048, 1169]}
RGPD4	{'GRIP': [1706, 1751], 'TPR_1': [60, 93], 'Ran_BP1': [1346, 1467, '//', 1049, 1170]}
RGPD5	{'GRIP': [1705, 1750], 'TPR_1': [60, 93], 'Ran_BP1': [1345, 1466, '//', 1048, 1169]}
MOB2	{'Mob1_phocein': [29, 201]}
RDM1	{'RRM_1': [27, 90], 'Rad52_Rad22': [74, 232]}
RGPD8	{'GRIP': [1705, 1750], 'TPR_1': [60, 93], 'Ran_BP1': [1345, 1466, '//', 1048, 1169]}
BRS3	{'7tm_1': [64, 330]}
MOB4	{'Mob1_phocein': [40, 210]}
RAB11FIP3	{'RBD-FIP': [716, 756], 'EF-hand_7': [206, 263]}
SLCO1B1	{'Kazal_2': [465, 506], 'OATP': [27, 622]}
RAB11FIP1	{'RBD-FIP': [1226, 1273], 'C2': [20, 108]}
RAB11FIP5	{'RBD-FIP': [601, 648], 'C2': [21, 89]}
RAB11FIP4	{'RBD-FIP': [596, 636]}
BPIFA2	{'LBP_BPI_CETP': [53, 227]}
BPIFA3	{'LBP_BPI_CETP': [45, 219]}
BPIFA1	{'LBP_BPI_CETP': [58, 234]}
PCBD1	{'Pterin_4a': [3, 101]}
LRRC25	{'LRR_4': [61, 106]}
METTL22	{'Methyltransf_16': [164, 349]}
METTL20	{'PrmA': [101, 190]}
SPP1	{'Osteopontin': [20, 314]}
METTL25	{'Methyltransf_32': [154, 420]}
SPP2	{'Spp-24': [73, 211]}
MYL6B	{'EF-hand_6': [68, 97, '//', 145, 188]}
FASTK	{'FAST_1': [277, 345], 'RAP': [480, 536], 'FAST_2': [353, 444]}
ATXN3	{'Josephin': [8, 168], 'UIM': [223, 240, '//', 243, 260]}
NRN1L	{'NRN1': [42, 124]}
SLITRK6	{'LRR_8': [387, 447, '//', 411, 469, '//', 136, 195, '//', 439, 494, '//', 459, 518]}
IFIH1	{'Helicase_C': [743, 826], 'RIG-I_C-RD': [901, 1022], 'CARD': [115, 200], 'ResIII': [305, 493]}
CBLC	{'Cbl_N': [10, 146], 'zf-C3HC4_3': [347, 396], 'Cbl_N2': [148, 232], 'Cbl_N3': [234, 319]}
EEF1A1	{'GTP_EFTU': [5, 238], 'GTP_EFTU_D2': [260, 327], 'GTP_EFTU_D3': [333, 442]}
HMGB1	{'HMG_box': [95, 163], 'HMG_box_2': [6, 79]}
KIAA1033	{'WASH-7_mid': [605, 954], 'WASH-7_N': [32, 604], 'WASH-7_C': [966, 1135]}
CHP1	{'EF-hand_1': [114, 142]}
SLITRK4	{'LRR_8': [425, 485, '//', 401, 461, '//', 131, 190, '//', 155, 214]}
FYCO1	{'FYVE': [1168, 1232], 'RUN': [17, 168]}
RAB2A	{'Ras': [8, 169]}
RAB2B	{'Ras': [8, 169]}
ARL15	{'Arf': [27, 194]}
ARL14	{'Arf': [1, 175]}
ARL16	{'Arf': [14, 193]}
FRRS1	{'DOMON': [214, 331], 'Reeler': [31, 156]}
ARHGEF15	{'RhoGEF': [421, 600]}
KIAA1328	{'KIAA1328': [93, 410]}
SCP2D1	{'SCP2': [49, 151]}
WDR45B	{'WD40': [175, 214]}
AASS	{'Saccharop_dh': [483, 919], 'AlaDh_PNT_N': [27, 157], 'AlaDh_PNT_C': [197, 399]}
ARHGEF17	{'RhoGEF': [1070, 1253]}
KIF4B	{'Kinesin': [15, 336]}
KIF4A	{'Kinesin': [15, 336]}
PEX14	{'Pex14_N': [24, 135]}
CLIP3	{'CAP_GLY': [418, 483, '//', 296, 361], 'Ank_2': [133, 228]}
CLIP2	{'CAP_GLY': [221, 286, '//', 81, 146]}
ETNK2	{'Choline_kinase': [105, 305]}
ETNK1	{'Choline_kinase': [160, 365]}
CLIP4	{'CAP_GLY': [487, 552, '//', 285, 350, '//', 625, 691], 'Ank_2': [123, 217]}
MNDA	{'PYRIN': [6, 84], 'HIN': [208, 375]}
SIDT2	{'SID-1_RNA_chan': [169, 832]}
LRRC28	{'LRR_8': [41, 100, '//', 111, 169]}
HEXDC	{'Glyco_hydro_20': [38, 242]}
NOL9	{'MobB': [300, 414], 'Clp1': [409, 648]}
CD48	{'V-set': [22, 127], 'Ig_2': [133, 216]}
MND1	{'Mnd1': [16, 203]}
CD44	{'Xlink': [31, 119]}
CD47	{'V-set_CD47': [8, 142], 'CD47': [143, 300]}
CA14	{'Carb_anhydrase': [22, 278]}
CA13	{'Carb_anhydrase': [6, 261]}
CD40	{'TNFR_c6': [26, 59]}
CA11	{'Carb_anhydrase': [35, 303]}
VMA21	{'VMA21': [23, 88]}
CLK1	{'Pkinase': [161, 477]}
TPSAB1	{'Trypsin': [31, 267]}
RAB20	{'Ras': [7, 202]}
RAB21	{'Ras': [21, 182]}
EIF4E3	{'IF4E': [48, 211]}
RAB23	{'Ras': [11, 171]}
RAB24	{'Ras': [9, 174]}
TBL1Y	{'LisH': [6, 32], 'WD40': [349, 387, '//', 442, 480, '//', 391, 438, '//', 169, 207, '//', 266, 304, '//', 234, 263]}
GIF	{'Cobalamin_bind': [6, 313]}
GLRA2	{'Neur_chan_LBD': [44, 254], 'Neur_chan_memb': [261, 375]}
CALR	{'Calreticulin': [21, 332]}
CALU	{'EF-hand_8': [265, 292]}
GLRA4	{'Neur_chan_LBD': [44, 255], 'Neur_chan_memb': [262, 371]}
WDR78	{'WD40': [694, 733, '//', 738, 775]}
RPS29	{'Ribosomal_S14': [4, 56]}
FAR1	{'Sterile': [355, 448], 'NAD_binding_4': [15, 285]}
ACTR1B	{'Actin': [7, 376]}
ACTR1A	{'Actin': [7, 376]}
DZIP3	{'zf-RING_2': [1146, 1188]}
WDR70	{'WD40': [173, 210, '//', 380, 406, '//', 328, 360]}
WDR72	{'WD40': [547, 585, '//', 53, 93, '//', 451, 495]}
WDR75	{'WD40': [47, 86, '//', 202, 231, '//', 435, 473]}
WDR74	{'WD40': [259, 297]}
WDR77	{'WD40': [157, 196, '//', 117, 153, '//', 245, 284]}
WDR76	{'WD40': [485, 524, '//', 350, 387]}
WNT3A	{'wnt': [41, 352]}
DHX29	{'Helicase_C': [892, 986], 'HA2': [1048, 1139], 'OB_NTP_bind': [1179, 1302], 'DEAD': [575, 744]}
TRHDE	{'ERAP1_C': [678, 1004], 'Peptidase_M1': [140, 530]}
PPP2R3B	{'EF-hand_7': [297, 417]}
PPP2R3A	{'EF-hand_7': [880, 1001]}
CDO1	{'CDO_I': [1, 170]}
RIBC1	{'RIB43A': [1, 379]}
SFMBT1	{'MBT': [54, 128, '//', 279, 356, '//', 388, 461, '//', 167, 240], 'SAM_1': [794, 857], 'DUF3588': [501, 620]}
CDX4	{'Homeobox': [174, 230], 'Caudal_act': [13, 171]}
RGS11	{'DEP': [35, 105], 'RGS': [303, 417], 'G-gamma': [220, 284]}
CDC42EP3	{'PBD': [30, 86], 'BORG_CEP': [102, 254]}
PRPF3	{'DUF1115': [543, 674], 'PRP3': [307, 522], 'PWI': [8, 79]}
C14orf1	{'Erg28': [5, 116]}
PRPF4	{'WD40': [397, 435, '//', 482, 520, '//', 439, 478, '//', 263, 309, '//', 313, 351, '//', 225, 259, '//', 356, 393], 'PRP4': [108, 137]}
PRPF6	{'TPR_8': [709, 742], 'PRP1_N': [13, 169]}
CD72	{'Lectin_C': [250, 352]}
TPCN1	{'Ion_trans': [477, 752, '//', 142, 319]}
CNDP1	{'Peptidase_M20': [128, 502], 'M20_dimer': [241, 402]}
PCF11	{'CTD_bind': [70, 127]}
GPER	{'7tm_1': [76, 324]}
NAA50	{'Acetyltransf_1': [49, 130]}
C5orf48	{'DUF4513': [3, 134]}
ZFP69	{'KRAB': [76, 116], 'zf-H2C2_2': [285, 310, '//', 313, 338, '//', 369, 394, '//', 341, 366, '//', 481, 506, '//', 397, 422, '//', 425, 450]}
C5orf46	{'DUF4576': [1, 87]}
ZFP64	{'zf-C2H2_6': [30, 56, '//', 579, 604], 'zf-H2C2_2': [316, 341, '//', 428, 452, '//', 161, 186, '//', 400, 424, '//', 189, 213, '//', 372, 397, '//', 217, 242, '//', 344, 368, '//', 509, 534]}
PIP4K2A	{'PIP5K': [114, 405]}
ZFP62	{'zf-H2C2_2': [267, 292, '//', 295, 320, '//', 379, 404, '//', 239, 264, '//', 771, 796, '//', 659, 684, '//', 183, 206, '//', 463, 488, '//', 743, 768, '//', 547, 572, '//', 603, 628, '//', 826, 850, '//', 352, 376, '//', 435, 460, '//', 491, 516, '//', 716, 740, '//', 631, 656, '//', 575, 600, '//', 519, 544, '//', 155, 180, '//', 407, 432, '//', 323, 348, '//', 211, 236, '//', 687, 712]}
PIP4K2C	{'PIP5K': [124, 420]}
PIP4K2B	{'PIP5K': [119, 415]}
HMGA1	{'AT_hook': [81, 93, '//', 23, 34, '//', 55, 67]}
IL31RA	{'IL6Ra-bind': [24, 119], 'fn3': [123, 215, '//', 424, 507]}
NPL	{'DHDPS': [7, 304]}
ARL14EP	{'ARF7EP_C': [144, 250]}
RFFL	{'zf-C3HC4_3': [312, 357]}
LEFTY2	{'TGF_beta': [260, 354], 'TGFb_propeptide': [14, 238]}
LEFTY1	{'TGF_beta': [260, 307], 'TGFb_propeptide': [13, 237]}
ARRDC4	{'Arrestin_C': [191, 318], 'Arrestin_N': [20, 169]}
ARRDC5	{'Arrestin_C': [184, 321], 'Arrestin_N': [20, 158]}
PPP2R5A	{'B56': [55, 463]}
ZWINT	{'Zwint': [29, 277]}
ARRDC1	{'Arrestin_C': [162, 286], 'Arrestin_N': [7, 139]}
ARRDC2	{'Arrestin_C': [180, 307], 'Arrestin_N': [9, 158]}
ARRDC3	{'Arrestin_C': [187, 314], 'Arrestin_N': [9, 165]}
DHDH	{'GFO_IDH_MocA': [3, 123]}
ZFHX2	{'zf-C2H2_2': [561, 601, '//', 1239, 1287], 'Homeobox': [2066, 2122, '//', 1596, 1652, '//', 1858, 1914]}
CATSPER2	{'Ion_trans': [148, 340]}
TMBIM4	{'Bax1-I': [32, 232]}
FAM45A	{'SPA': [157, 264]}
KIF14	{'Kinesin': [364, 701], 'FHA': [825, 891]}
KIAA0930	{'DUF2045': [25, 263]}
KIF15	{'Kinesin': [32, 363], 'Kinesin-relat_1': [463, 551]}
KIAA1958	{'DUF3504': [529, 688]}
CSAD	{'Pyridoxal_deC': [49, 417]}
RABGAP1L	{'PID': [133, 257], 'RabGAP-TBC': [541, 744], 'DUF3694': [290, 422]}
ELK3	{'Ets': [4, 87]}
NUP107	{'Nup84_Nup100': [207, 910]}
ELK1	{'Ets': [4, 88]}
C4orf22	{'DUF4464': [9, 233]}
ELK4	{'Ets': [4, 87]}
PAK7	{'PBD': [10, 67], 'Pkinase': [450, 700]}
PAK1	{'PBD': [74, 132], 'Pkinase': [270, 521]}
PAK2	{'PBD': [73, 131], 'Pkinase': [249, 500]}
SH3BP1	{'BAR': [2, 254], 'RhoGAP': [290, 441]}
SH3BP2	{'SH2': [458, 538], 'PH': [27, 130]}
NSDHL	{'3Beta_HSD': [41, 297]}
PIGA	{'PIGA': [72, 161], 'Glycos_transf_1': [214, 371]}
KCNG1	{'Ion_trans': [270, 459], 'BTB_2': [65, 164]}
KCNG2	{'Ion_trans': [220, 404], 'BTB_2': [19, 118]}
KCNG3	{'Ion_trans': [223, 408], 'BTB_2': [11, 111]}
KCNG4	{'Ion_trans': [264, 453], 'BTB_2': [61, 160]}
CXorf64	{'DUF4645': [1, 294]}
HTR5A	{'7tm_1': [57, 338]}
PANX1	{'Innexin': [31, 266]}
OR4C15	{'7tm_4': [138, 279]}
OR4C16	{'7tm_4': [137, 278]}
OR4C11	{'7tm_4': [137, 278]}
GAST	{'Gastrin': [1, 101]}
OR4C13	{'7tm_4': [137, 278]}
OR4C12	{'7tm_4': [137, 278]}
DEFB116	{'Defensin_beta_2': [39, 68]}
DEFB114	{'Defensin_beta_2': [28, 58]}
DEFB112	{'Defensin_beta_2': [53, 83]}
DEFB113	{'Defensin_beta_2': [34, 62]}
DEFB110	{'Defensin_beta_2': [34, 64]}
SUB1	{'PC4': [62, 117]}
CALCRL	{'7tm_2': [138, 380], 'HRM': [62, 130]}
APOBEC4	{'APOBEC_N': [41, 233]}
DEFB118	{'Defensin_beta_2': [26, 55]}
DEFB119	{'Defensin_beta_2': [27, 56]}
LCN15	{'Lipocalin': [34, 174]}
DMBT1	{'SRCR': [736, 833, '//', 497, 594, '//', 996, 1093, '//', 1643, 1740, '//', 366, 463, '//', 865, 962, '//', 1125, 1222, '//', 1254, 1351, '//', 1383, 1480, '//', 1512, 1609, '//', 237, 334, '//', 605, 702, '//', 105, 202, '//', 1889, 1986], 'CUB': [1766, 1874, '//', 2008, 2114], 'Zona_pellucida': [2126, 2381]}
AXDND1	{'Ax_dynein_light': [199, 392]}
LCN12	{'Lipocalin': [40, 184]}
TNS3	{'SH2': [1172, 1267], 'PTEN_C2': [173, 300], 'PTB': [1310, 1444]}
RBMY1F	{'RRM_1': [10, 79], 'RBM1CTR': [174, 218]}
TRAF3IP1	{'MIP-T3': [49, 685]}
GLUD2	{'ELFV_dehydrog_N': [112, 244], 'ELFV_dehydrog': [263, 476]}
C10orf53	{'UPF0728': [1, 89]}
PIGK	{'Peptidase_C13': [45, 306]}
CEP72	{'LRR_4': [54, 102]}
ARID2	{'ARID': [10, 101], 'RFX_DNA_binding': [517, 604]}
SPRR4	{'Cornifin': [19, 78]}
C4orf27	{'DUF2228': [77, 328]}
OR8D4	{'7tm_4': [139, 283]}
FASTKD5	{'FAST_1': [430, 502], 'RAP': [699, 758], 'FAST_2': [509, 602]}
OR8D1	{'7tm_4': [139, 283]}
OR8D2	{'7tm_4': [139, 283]}
ZNF777	{'zf-C2H2': [722, 744, '//', 546, 568, '//', 664, 686, '//', 574, 596], 'KRAB': [285, 325], 'zf-H2C2_2': [708, 733, '//', 650, 674], 'DUF3669': [178, 257]}
ARGLU1	{'ARGLU': [119, 269]}
FASTKD2	{'FAST_1': [456, 528], 'RAP': [636, 692], 'FAST_2': [535, 619]}
ZNF774	{'zf-H2C2_2': [221, 246, '//', 165, 190, '//', 305, 329, '//', 193, 218, '//', 361, 386, '//', 389, 414, '//', 333, 358, '//', 445, 470, '//', 417, 442, '//', 249, 274]}
ZBTB16	{'zf-C2H2': [491, 512, '//', 630, 652], 'zf-C2H2_4': [432, 455], 'zf-C2H2_6': [460, 486], 'zf-H2C2_2': [560, 584, '//', 588, 612, '//', 532, 556], 'BTB': [24, 126]}
TMEM194A	{'DUF2215': [151, 399]}
CA2	{'Carb_anhydrase': [5, 259]}
NLRP3	{'NACHT': [220, 389], 'FISNA': [139, 210], 'PYRIN': [6, 89], 'LRR_6': [740, 763, '//', 797, 820]}
CALML3	{'EF-hand_1': [85, 113, '//', 121, 149, '//', 48, 76], 'EF-hand_6': [12, 41]}
PAIP2B	{'PAM2': [105, 120]}
GLYCTK	{'MOFRL': [401, 514], 'DUF4147': [36, 291]}
DHX40	{'Helicase_C': [307, 401], 'HA2': [462, 557], 'OB_NTP_bind': [591, 699], 'DEAD': [53, 221]}
CALML5	{'EF-hand_1': [82, 110], 'EF-hand_8': [24, 76], 'EF-hand_7': [78, 143, '//', 12, 73]}
NUBP2	{'MipZ': [15, 150], 'ParA': [126, 209]}
SHISA5	{'Shisa': [26, 209]}
TMEM211	{'L_HGMIC_fpl': [2, 173]}
TMEM210	{'TMEM210': [32, 147]}
PFN4	{'Profilin': [5, 124]}
TMEM216	{'Transmemb_17': [22, 130]}
SHISA2	{'Shisa': [33, 224]}
TMEM214	{'DUF2359': [217, 685]}
GAS1	{'GDNF': [48, 146, '//', 166, 243]}
COX11	{'CtaG_Cox11': [113, 264]}
TMEM219	{'TMEM219': [10, 193]}
TRIM5	{'zf-B_box': [90, 131], 'zf-C3HC4_4': [15, 58], 'SPRY': [356, 492]}
COX15	{'COX15-CtaA': [70, 399]}
TRIM7	{'zf-B_box': [125, 166], 'PRY': [344, 392], 'zf-C3HC4_4': [29, 81], 'SPRY': [394, 509]}
TRIM6	{'zf-B_box': [93, 133], 'zf-C3HC4_4': [15, 59], 'SPRY': [352, 486]}
SERF1A	{'4F5': [1, 39]}
ANKRD13D	{'GPCR_chapero_1': [68, 383]}
BTLA	{'Ig_2': [38, 134]}
ANKRD13C	{'GPCR_chapero_1': [259, 533], 'Ank_2': [116, 207, '//', 89, 174]}
PRKAA1	{'Pkinase': [27, 279]}
AIDA	{'Aida_C2': [154, 302], 'Aida_N': [8, 113]}
TIMM8B	{'zf-Tim10_DDP': [13, 77]}
KIAA1462	{'JCAD': [1, 1348]}
UGT2A1	{'UDPGT': [21, 524]}
PDGFRL	{'I-set': [272, 374], 'Ig_2': [77, 165]}
TMSB10	{'Thymosin': [2, 42]}
PPA2	{'Pyrophosphatase': [93, 277]}
PPA1	{'Pyrophosphatase': [45, 229]}
TNS4	{'SH2': [449, 541], 'PTB': [581, 714]}
ADAP1	{'PH_11': [255, 354], 'ArfGap': [6, 122]}
PGA3	{'A1_Propeptide': [17, 45], 'Asp': [75, 387]}
NUP62	{'Nsp1_C': [316, 429]}
HINFP	{'zf-C2H2': [345, 368, '//', 255, 278], 'zf-C2H2_4': [229, 254], 'zf-H2C2_2': [185, 210]}
CILP2	{'Mucin2_WxxW': [58, 145], 'CarboxypepD_reg': [210, 287], 'TSP_1': [150, 196], 'Ig_2': [291, 377]}
OR2Y1	{'7tm_4': [139, 282]}
ALCAM	{'C2-set_2': [137, 231], 'V-set': [19, 130], 'Ig_3': [415, 495], 'Ig_2': [248, 331, '//', 333, 412]}
TPM4	{'Tropomyosin': [12, 248]}
PGA5	{'A1_Propeptide': [17, 45], 'Asp': [75, 387]}
FAM21D	{'CAP-ZIP_m': [1, 48]}
FAM21C	{'CAP-ZIP_m': [922, 1058]}
FAM21B	{'CAP-ZIP_m': [856, 993]}
FAM21A	{'CAP-ZIP_m': [944, 1081]}
SIPA1	{'Rap_GAP': [350, 539], 'PDZ': [687, 759]}
FBXW2	{'WD40': [216, 254, '//', 140, 174, '//', 178, 212], 'F-box': [55, 95]}
TAGLN	{'Calponin': [175, 200], 'CH': [27, 138]}
FBXW4	{'F-box-like': [28, 74], 'WD40': [192, 227, '//', 153, 189]}
FBXW5	{'F-box-like': [6, 52], 'WD40': [82, 120, '//', 503, 539]}
ETFB	{'ETF': [26, 190]}
SH3RF2	{'zf-C3HC4': [12, 52], 'SH3_9': [387, 436, '//', 194, 248], 'SH3_2': [129, 182]}
SH3RF1	{'zf-C3HC4': [12, 52], 'SH3_9': [452, 502, '//', 836, 886, '//', 141, 189, '//', 203, 255]}
FAM159B	{'Shisa': [3, 53]}
SSX2IP	{'ADIP': [63, 214]}
YKT6	{'Synaptobrevin': [135, 196], 'Longin': [43, 126]}
PLSCR1	{'Scramblase': [86, 307]}
ALPP	{'Alk_phosphatase': [55, 490]}
PCIF1	{'PCIF1_WW': [446, 621], 'WW': [46, 75]}
LRAT	{'LRAT': [38, 174]}
CYYR1	{'DUF2668': [1, 154]}
OR2AJ1	{'7tm_4': [140, 283]}
KIAA1210	{'DUF4592': [298, 420]}
PRADC1	{'PA': [58, 156]}
NDOR1	{'Flavodoxin_1': [8, 145], 'FAD_binding_1': [201, 421], 'NAD_binding_1': [455, 561]}
LYST	{'PH_BEACH': [3013, 3115], 'WD40': [3606, 3644, '//', 3562, 3590], 'Beach': [3132, 3422]}
CLASRP	{'DRY_EERY': [39, 171]}
YWHAQ	{'14-3-3': [3, 236]}
SH3PXD2A	{'SH3_1': [172, 217, '//', 273, 317, '//', 848, 891, '//', 455, 499], 'PX': [5, 124]}
SRRM3	{'SRRM_C': [522, 587], 'cwf21': [55, 100]}
LYSMD3	{'LysM': [68, 110]}
SRRM2	{'cwf21': [58, 102]}
DAK	{'Dak1': [18, 340], 'Dak2': [398, 571]}
KLHL11	{'Kelch_1': [396, 440, '//', 599, 648, '//', 442, 488], 'BACK': [205, 307], 'BTB': [84, 200]}
LYSMD1	{'LysM': [42, 85]}
AGRP	{'Agouti': [32, 122]}
NFYC	{'CBFD_NFYB_HMF': [41, 105]}
NFYB	{'CBFD_NFYB_HMF': [57, 122]}
NFYA	{'CBFB_NFYA': [262, 318]}
KLHL13	{'Kelch_1': [378, 428, '//', 430, 475, '//', 477, 522, '//', 578, 623, '//', 525, 574], 'BACK': [196, 297], 'BTB': [82, 190]}
SPO11	{'TP6A_N': [104, 171], 'SPO11_like': [2, 44]}
RABL5	{'Ras': [5, 128]}
CCNI2	{'Cyclin_N': [123, 248]}
BAZ2B	{'MBD': [739, 813], 'DDT': [1087, 1149], 'Bromodomain': [2069, 2151], 'PHD': [1933, 1981]}
POMZP3	{'Zona_pellucida': [72, 141]}
FYB	{'SH3_2': [515, 570], 'hSH3': [695, 783]}
TRADD	{'Death': [217, 304], 'TRADD_N': [51, 161]}
SYCN	{'Syncollin': [22, 133]}
GOLGA6L9	{'GOLGA2L5': [80, 222]}
GOLGA6L4	{'GOLGA2L5': [80, 228]}
FYN	{'Pkinase_Tyr': [271, 520], 'SH3_1': [88, 135], 'SH2': [149, 231]}
GOLGA6L2	{'GOLGA2L5': [577, 650]}
HNRNPR	{'RRM_1': [343, 405, '//', 167, 235, '//', 248, 315]}
ASCL2	{'HLH': [53, 103]}
PDK2	{'BCDHK_Adom3': [29, 193], 'HATPase_c': [240, 363]}
TOR1A	{'Torsin': [44, 169]}
XCL2	{'IL8': [23, 84]}
CKS2	{'CKS': [5, 74]}
TMUB1	{'ubiquitin': [118, 174]}
OST4	{'Ost4': [1, 35]}
CCT6A	{'Cpn60_TCP1': [30, 525]}
PAF1	{'Paf1': [27, 446]}
XAGE1A	{'GAGE': [37, 81]}
XAGE1B	{'GAGE': [37, 81]}
XAGE1C	{'GAGE': [37, 81]}
XAGE1D	{'GAGE': [37, 81]}
XAGE1E	{'GAGE': [37, 81]}
KRT79	{'Filament': [141, 456]}
CHCHD3	{'DUF737': [14, 175]}
RUFY1	{'FYVE': [637, 701], 'RUN': [147, 270]}
FCGR2B	{'Ig_2': [132, 214, '//', 47, 128]}
OSTC	{'OST3_OST6': [5, 138]}
FCGR2A	{'Ig_2': [39, 119, '//', 123, 205]}
SKIL	{'c-SKI_SMAD_bind': [261, 356], 'Ski_Sno': [124, 236]}
GCGR	{'7tm_2': [138, 396], 'HRM': [55, 124]}
CYTH3	{'PH': [265, 381], 'Sec7': [62, 248]}
COL6A3	{'Collagen': [2036, 2096], 'Kunitz_BPTI': [3111, 3163], 'VWA': [39, 213, '//', 639, 816, '//', 1436, 1609, '//', 445, 615, '//', 1233, 1404, '//', 1029, 1203, '//', 242, 415, '//', 1639, 1816, '//', 837, 1009, '//', 2619, 2810, '//', 2402, 2581]}
BSPH1	{'fn2': [90, 131, '//', 45, 82]}
DPH1	{'Diphthamide_syn': [81, 386]}
DPH2	{'Diphthamide_syn': [54, 373]}
DPH3	{'zf-CSL': [6, 60]}
MYH7B	{'Myosin_head': [86, 773], 'Myosin_N': [32, 74], 'Myosin_tail_1': [1075, 1933]}
DPH5	{'TP_methylase': [1, 241]}
SPAST	{'AAA': [378, 508], 'MIT': [119, 195]}
TRIM69	{'zf-C3HC4_4': [41, 81], 'PRY': [325, 373], 'SPRY': [375, 492]}
MUM1L1	{'PWWP': [390, 470]}
CALCR	{'7tm_2': [184, 403], 'HRM': [69, 137]}
PSAPL1	{'SapB_1': [291, 329, '//', 61, 99], 'SapA': [478, 511, '//', 22, 55], 'SapB_2': [437, 469, '//', 333, 366]}
AGR2	{'Thioredoxin_7': [53, 133]}
AGR3	{'Thioredoxin_7': [43, 124]}
THEGL	{'THEG': [404, 464, '//', 202, 278, '//', 295, 351, '//', 369, 403]}
WIBG	{'Mago-bind': [13, 38]}
WBP5	{'BEX': [7, 101]}
CANT1	{'Apyrase': [113, 401]}
CALCA	{'Calc_CGRP_IAPP': [1, 123]}
AQP1	{'MIP': [4, 227]}
NDST3	{'HSNSD': [19, 506], 'Sulfotransfer_1': [595, 858]}
CKB	{'ATP-gua_PtransN': [21, 100], 'ATP-gua_Ptrans': [120, 367]}
CKM	{'ATP-gua_PtransN': [21, 100], 'ATP-gua_Ptrans': [120, 367]}
MASP2	{'Trypsin': [445, 679], 'Sushi': [366, 430, '//', 300, 361], 'CUB': [184, 293, '//', 24, 134], 'EGF_CA': [138, 180]}
TBX10	{'T-box': [66, 253]}
TRIM60	{'zf-B_box': [92, 133], 'PRY': [297, 345], 'zf-C3HC4_4': [16, 56], 'SPRY': [347, 466]}
TRIM61	{'zf-B_box': [92, 133], 'zf-C3HC4_4': [16, 56]}
DCN	{'LRR_8': [221, 281, '//', 81, 141, '//', 150, 212], 'LRRNT': [53, 80]}
GPAM	{'Acyltransferase': [203, 355]}
DCK	{'dNK': [96, 253]}
ACSM1	{'AMP-binding': [61, 475], 'AMP-binding_C': [483, 563]}
ACSM3	{'AMP-binding': [71, 484], 'AMP-binding_C': [492, 572]}
THRB	{'zf-C4': [105, 176], 'Hormone_recep': [257, 447]}
DCC	{'I-set': [331, 417, '//', 240, 327, '//', 140, 230], 'fn3': [623, 708, '//', 529, 610, '//', 946, 1034, '//', 430, 514, '//', 845, 932, '//', 727, 807], 'Neogenin_C': [1146, 1445], 'Ig_2': [41, 136]}
TAF4B	{'TAF4': [616, 861], 'TAFH': [256, 353]}
PERP	{'PMP22_Claudin': [14, 169]}
CUL9	{'APC10': [1153, 1318], 'IBR': [2215, 2279, '//', 2140, 2203], 'Cul7': [366, 441], 'Cullin': [1304, 1838]}
CUL5	{'Cullin_Nedd8': [707, 774], 'Cullin': [19, 673]}
CUL7	{'APC10': [825, 994], 'Cul7': [360, 435], 'Cullin': [976, 1544]}
CUL1	{'Cullin_Nedd8': [703, 770], 'Cullin': [21, 707]}
CUL3	{'Cullin_Nedd8': [695, 762], 'Cullin': [34, 666]}
TRIM29	{'zf-B_box': [220, 260]}
SMARCAD1	{'Helicase_C': [888, 967], 'SNF2_N': [500, 788]}
PNKP	{'AAA_33': [367, 489], 'PNK3P': [166, 328]}
CDH20	{'Cadherin': [170, 265, '//', 394, 485, '//', 279, 381, '//', 498, 595, '//', 64, 156], 'Cadherin_C': [642, 794]}
TRIM25	{'zf-C3HC4_4': [13, 53], 'PRY': [459, 507], 'SPRY': [509, 629]}
TRIM26	{'zf-B_box': [97, 138], 'PRY': [315, 363], 'zf-C3HC4_4': [16, 56], 'SPRY': [365, 539]}
TRIM27	{'zf-C3HC4': [16, 56], 'zf-B_box': [91, 132], 'PRY': [318, 366], 'SPRY': [368, 493]}
CDH24	{'Cadherin': [264, 366, '//', 379, 462, '//', 155, 250, '//', 50, 141], 'Cadherin_C': [663, 814]}
TRIM21	{'zf-C3HC4': [16, 54], 'zf-B_box': [87, 128], 'PRY': [289, 337], 'SPRY': [339, 465]}
TRIM22	{'zf-B_box': [92, 133], 'zf-C3HC4_4': [15, 59], 'SPRY': [352, 497]}
TRIM23	{'zf-B_box': [122, 168], 'Arf': [391, 565]}
FLRT1	{'LRR_8': [242, 301, '//', 99, 166], 'LRR_1': [171, 193], 'LRRNT': [25, 52]}
PER2	{'Period_C': [1046, 1235], 'PAS_11': [330, 436]}
PER1	{'Period_C': [1032, 1231], 'PAS_11': [357, 464]}
SRP9	{'SRP9-21': [3, 74]}
ZNF510	{'KRAB': [46, 86], 'zf-H2C2_2': [418, 443, '//', 474, 499, '//', 586, 611, '//', 615, 639, '//', 558, 583, '//', 530, 555, '//', 446, 471, '//', 502, 527]}
